,carat,depth,table,x,y,z,predict
2072,1.33,62.3,59.0,7.01,6.98,4.36,7105.124
2073,0.43,63.3,57.0,4.82,4.79,3.04,804.02435
2074,0.32,59.7,60.0,4.45,4.43,2.65,611.4123
2075,1.18,59.7,58.0,6.94,6.9,4.13,6923.4404
2076,0.5,61.7,58.0,5.09,5.15,3.16,1247.768
2077,2.72,68.2,56.0,8.46,8.43,5.76,15547.626
2078,0.71,61.5,57.0,5.71,5.77,3.53,2368.6782
2079,0.58,61.8,56.0,5.36,5.38,3.32,1720.2354
2080,0.33,60.2,57.0,4.5,4.47,2.7,651.7791
2081,1.01,62.3,55.0,6.37,6.44,3.99,5058.229
2082,1.09,62.5,55.0,6.64,6.58,4.13,5863.379
2083,0.38,62.4,56.0,4.69,4.63,2.91,725.363
2084,1.3,62.0,57.0,6.96,7.03,4.34,7481.52
2085,0.31,63.6,57.0,4.3,4.28,2.73,577.65826
2086,0.5,63.8,56.0,5.05,5.08,3.23,1227.18
2087,0.3,62.6,56.0,4.27,4.29,2.68,581.9105
2088,0.35,61.6,58.0,4.54,4.49,2.78,655.5222
2089,2.01,61.8,60.0,7.99,8.04,4.95,13097.568
2090,0.36,61.8,55.0,4.58,4.61,2.84,708.2052
2091,0.32,62.3,57.0,4.42,4.41,2.75,623.40436
2092,0.43,61.6,54.0,4.88,4.92,3.02,1110.2507
2093,0.59,60.6,56.0,5.44,5.46,3.3,1875.8763
2094,0.91,60.9,58.0,6.28,6.2,3.8,4009.4443
2095,1.23,62.4,58.0,6.74,6.89,4.26,6384.452
2096,1.01,60.7,59.0,6.47,6.45,3.92,4785.26
2097,0.31,62.3,60.0,4.34,4.29,2.69,564.1137
2098,0.91,62.9,54.0,6.14,6.22,3.89,4232.4194
2099,1.0,63.7,59.0,6.38,6.33,4.05,4190.5728
2100,0.78,63.7,60.0,5.77,5.73,3.66,2195.334
2101,0.7,63.5,56.0,5.58,5.66,3.57,2152.7637
2102,0.31,61.4,60.0,4.36,4.34,2.67,576.91876
2103,0.72,60.8,58.0,5.77,5.8,3.52,2414.1252
2104,0.57,61.8,57.0,5.28,5.33,3.28,1580.8848
2105,1.07,62.9,59.0,6.52,6.49,4.09,4873.368
2106,1.04,59.8,58.0,6.61,6.56,3.94,5466.016
2107,0.57,62.2,56.0,5.32,5.35,3.31,1655.3217
2108,0.52,63.0,56.0,5.16,5.1,3.23,1342.8721
2109,0.33,63.0,58.0,4.42,4.4,2.78,614.8326
2110,0.34,62.2,56.0,4.47,4.44,2.77,648.74
2111,1.18,60.1,58.0,6.88,6.92,4.15,6790.537
2112,0.73,60.9,55.8,5.8,5.85,3.55,2680.7598
2113,1.04,61.0,57.0,6.61,6.57,4.02,5533.1377
2114,0.33,59.4,61.0,4.49,4.53,2.68,629.1547
2115,0.35,62.1,56.0,4.56,4.52,2.82,679.54095
2116,0.56,61.2,56.0,5.3,5.35,3.26,1659.9296
2117,0.31,62.4,57.0,4.3,4.32,2.69,586.15875
2118,0.33,60.7,56.0,4.46,4.43,2.7,645.9716
2119,0.54,61.3,56.0,5.22,5.26,3.21,1532.9338
2120,0.41,61.8,57.0,4.8,4.75,2.95,785.8155
2121,0.77,61.2,57.0,5.94,5.98,3.65,2957.6729
2122,0.7,62.4,57.0,5.68,5.61,3.52,2170.8315
2123,1.41,60.8,57.0,7.28,7.23,4.41,9061.609
2124,0.3,64.2,55.0,4.23,4.28,2.73,578.5702
2125,0.3,62.2,59.0,4.28,4.31,2.67,563.2412
2126,1.09,60.9,59.0,6.64,6.59,4.03,5427.9004
2127,1.5,60.8,58.0,7.24,7.34,4.43,9237.393
2128,1.52,64.9,58.0,7.18,7.13,4.65,8192.274
2129,0.6,61.1,55.0,5.46,5.48,3.34,1958.1586
2130,0.32,62.2,56.0,4.39,4.36,2.72,618.0548
2131,0.26,62.1,54.0,4.1,4.14,2.56,537.557
2132,0.38,62.4,54.4,4.62,4.66,2.9,731.7014
2133,0.31,63.0,59.0,4.26,4.31,2.7,560.6899
2134,1.04,59.7,59.0,6.67,6.56,3.95,5425.3867
2135,0.7,61.6,57.0,5.69,5.73,3.52,2306.3516
2136,0.33,62.8,54.0,4.42,4.4,2.77,647.0904
2137,1.01,63.1,54.0,6.37,6.43,4.04,5125.578
2138,0.96,56.6,63.0,6.52,6.39,3.67,4438.65
2139,0.36,63.6,60.0,4.52,4.47,2.86,632.2227
2140,0.43,63.1,56.0,4.8,4.83,3.04,870.5617
2141,0.9,62.9,58.0,6.11,6.02,3.82,3259.1426
2142,0.35,62.6,57.0,4.47,4.45,2.79,643.5896
2143,0.54,60.7,56.0,5.27,5.3,3.21,1605.4548
2144,0.7,62.8,56.0,5.64,5.67,3.55,2232.169
2145,0.91,63.5,58.0,6.15,6.04,3.87,3320.8098
2146,2.31,62.9,58.0,8.43,8.34,5.27,14711.393
2147,0.3,63.9,56.0,4.27,4.24,2.72,571.43243
2148,1.01,61.2,61.0,6.44,6.41,3.93,4342.5244
2149,0.9,64.5,61.0,6.07,6.03,3.9,2750.038
2150,0.31,61.1,57.0,4.34,4.36,2.66,601.79987
2151,2.1,65.2,56.0,7.97,7.93,5.19,13306.109
2152,0.57,62.3,57.0,5.29,5.32,3.3,1567.9323
2153,0.3,62.2,59.0,4.31,4.28,2.67,563.2867
2154,1.5,60.6,59.0,7.37,7.48,4.5,9658.926
2155,1.13,62.7,56.0,6.65,6.61,4.16,5848.9893
2156,0.5,62.8,58.0,5.03,5.07,3.17,1132.5914
2157,1.08,62.0,57.0,6.65,6.55,4.06,5524.08
2158,1.04,61.9,57.0,6.48,6.5,4.02,5139.455
2159,0.3,61.8,57.0,4.31,4.33,2.67,588.5474
2160,1.07,62.0,57.0,6.6,6.49,4.06,5365.8965
2161,0.36,62.3,57.0,4.58,4.54,2.84,679.6712
2162,0.31,62.2,58.0,4.34,4.38,2.71,594.9438
2163,1.4,66.5,56.0,6.83,6.76,4.52,6608.1865
2164,1.0,60.1,63.0,6.42,6.45,3.87,4160.651
2165,2.03,61.2,55.0,8.14,8.26,5.02,14075.996
2166,0.77,61.3,56.0,5.91,5.97,3.64,3023.311
2167,0.55,61.0,56.0,5.34,5.32,3.25,1663.2963
2168,0.56,62.0,56.0,5.28,5.3,3.28,1598.4438
2169,0.4,59.7,58.0,4.83,4.79,2.87,823.1612
2170,2.07,61.2,58.0,8.2,8.18,5.01,13854.766
2171,0.32,61.9,56.0,4.4,4.35,2.71,618.89886
2172,0.33,60.9,56.0,4.45,4.48,2.72,652.20734
2173,0.41,62.8,58.0,4.73,4.76,2.98,742.80884
2174,1.01,59.7,59.0,6.5,6.56,3.9,5095.385
2175,1.03,62.2,59.0,6.42,6.4,3.99,4546.287
2176,1.51,61.9,59.0,7.39,7.31,4.55,9193.535
2177,1.09,62.5,57.0,6.61,6.55,4.11,5474.8643
2178,1.0,62.0,56.0,6.42,6.36,3.96,4866.7666
2179,0.72,60.9,56.0,5.79,5.86,3.55,2653.7166
2180,1.2,61.8,60.0,6.85,6.78,4.21,6072.0005
2181,0.27,61.3,62.0,4.15,4.2,2.56,494.99594
2182,0.3,62.6,58.0,4.28,4.31,2.69,570.9737
2183,1.23,61.0,55.0,6.93,6.95,4.23,7588.659
2184,0.7,60.1,56.0,5.84,5.78,3.49,2626.834
2185,1.16,62.7,56.0,6.73,6.69,4.21,6167.9946
2186,0.5,62.2,56.0,5.08,5.11,3.17,1301.1066
2187,2.03,62.7,59.0,8.02,8.08,5.05,13288.787
2188,1.2,62.8,59.0,6.72,6.65,4.2,5717.74
2189,1.07,64.3,59.0,6.42,6.37,4.11,4399.9033
2190,0.7,61.0,57.0,5.74,5.76,3.51,2397.3857
2191,0.32,62.5,56.0,4.38,4.45,2.76,631.223
2192,0.38,61.1,55.0,4.69,4.73,2.88,794.04047
2193,0.9,58.0,58.0,6.24,6.28,3.63,4288.22
2194,0.31,61.4,55.0,4.36,4.4,2.69,627.2624
2195,0.75,60.8,57.0,5.91,5.87,3.58,2730.9155
2196,0.92,66.8,55.0,6.04,5.99,4.02,3282.8552
2197,0.3,60.9,63.0,4.26,4.31,2.61,530.0768
2198,1.09,62.0,54.8,6.6,6.63,4.1,5947.2017
2199,1.1,61.3,57.0,6.66,6.59,4.06,5733.5615
2200,1.02,62.8,58.0,6.37,6.43,4.02,4590.362
2201,0.8,62.5,55.0,5.89,5.92,3.69,3016.184
2202,1.05,62.6,62.0,6.49,6.45,4.05,4313.844
2203,0.9,59.9,59.0,6.26,6.29,3.76,4044.3208
2204,1.31,61.9,56.0,7.05,7.08,4.37,8028.03
2205,0.9,63.0,58.0,6.16,6.12,3.87,3495.421
2206,0.41,62.2,58.0,4.8,4.78,2.98,758.66693
2207,0.34,61.7,55.0,4.49,4.52,2.78,674.37964
2208,0.93,58.9,60.0,6.43,6.48,3.8,4617.2476
2209,1.2,62.4,57.0,6.8,6.78,4.24,6383.9478
2210,0.52,61.8,55.0,5.19,5.16,3.2,1475.7965
2211,0.9,62.4,56.0,6.13,6.05,3.8,3664.314
2212,1.01,62.6,61.0,6.36,6.39,3.99,4070.9458
2213,1.0,55.2,64.0,6.69,6.64,3.68,5132.573
2214,0.3,61.1,59.0,4.29,4.32,2.63,568.4837
2215,0.31,61.7,56.0,4.35,4.4,2.7,617.09467
2216,0.27,61.7,58.0,4.12,4.15,2.55,512.7524
2217,1.11,63.1,57.0,6.55,6.6,4.15,5455.061
2218,0.55,61.6,55.0,5.26,5.28,3.25,1623.5419
2219,0.32,62.0,58.0,4.33,4.38,2.7,595.6576
2220,0.58,60.8,57.0,5.42,5.41,3.29,1748.5704
2221,0.35,60.8,56.0,4.58,4.6,2.79,697.7436
2222,2.02,56.5,61.0,8.33,8.37,4.72,14084.492
2223,1.51,63.1,56.0,7.33,7.28,4.61,9466.135
2224,0.42,61.7,57.0,4.78,4.81,2.96,821.03937
2225,0.51,62.3,53.7,5.1,5.12,3.19,1438.4164
2226,0.8,62.0,59.0,5.91,5.96,3.68,2667.408
2227,1.6,62.0,55.0,7.49,7.54,4.66,10972.633
2228,1.06,62.3,55.0,6.5,6.54,4.06,5526.8105
2229,0.27,61.5,58.0,4.17,4.22,2.58,533.38727
2230,0.27,62.3,56.0,4.17,4.15,2.59,536.1347
2231,0.3,62.1,56.0,4.28,4.32,2.67,589.30145
2232,0.5,64.7,57.0,4.99,4.94,3.21,1029.18
2233,1.02,63.1,60.0,6.31,6.4,4.01,4129.463
2234,0.66,61.0,57.8,5.64,5.69,3.45,2166.8833
2235,1.01,61.9,59.0,6.34,6.38,3.94,4369.16
2236,1.0,62.7,58.0,6.41,6.34,4.0,4480.163
2237,0.3,64.4,61.0,4.2,4.16,2.69,504.69672
2238,0.38,62.5,53.4,4.63,4.66,2.9,751.6409
2239,0.76,61.2,57.0,5.88,5.91,3.61,2740.5945
2240,0.59,61.4,56.0,5.39,5.36,3.3,1740.8912
2241,0.38,60.9,61.0,4.66,4.73,2.86,698.39606
2242,0.34,60.7,57.0,4.51,4.55,2.75,668.00287
2243,1.01,61.7,57.0,6.42,6.39,3.95,4814.084
2244,0.31,63.6,57.0,4.28,4.31,2.73,578.92377
2245,1.51,64.0,57.0,7.31,7.2,4.64,8919.142
2246,1.11,61.4,57.0,6.63,6.67,4.08,5825.2446
2247,0.85,60.7,55.0,6.14,6.19,3.74,4100.4624
2248,0.33,62.8,58.0,4.41,4.38,2.76,609.8619
2249,1.51,61.1,60.0,7.37,7.32,4.49,9064.915
2250,0.63,62.1,56.0,5.49,5.52,3.42,1951.2999
2251,1.11,63.2,57.0,6.61,6.53,4.15,5425.4746
2252,0.39,61.7,56.0,4.73,4.75,2.92,774.82074
2253,1.51,63.0,58.0,7.34,7.27,4.6,9061.067
2254,0.51,60.2,62.0,5.16,5.27,3.14,1215.6132
2255,0.32,61.9,59.0,4.35,4.38,2.7,590.9334
2256,1.07,61.8,55.0,6.59,6.55,4.06,5749.2534
2257,0.36,61.8,55.0,4.6,4.63,2.85,714.6337
2258,0.41,63.4,54.0,4.74,4.79,3.02,879.67224
2259,0.31,61.5,59.0,4.35,4.33,2.67,581.6576
2260,0.7,62.4,58.0,5.64,5.7,3.54,2156.141
2261,1.08,61.0,57.0,6.64,6.6,4.04,5706.9414
2262,0.92,65.1,58.0,6.12,6.07,3.97,3212.0671
2263,0.27,60.6,58.0,4.18,4.2,2.54,533.37915
2264,0.71,62.0,54.0,5.73,5.69,3.54,2539.759
2265,0.41,61.4,59.0,4.75,4.79,2.93,744.7557
2266,0.39,59.9,57.0,4.78,4.8,2.87,834.80817
2267,0.71,59.5,58.0,5.82,5.87,3.48,2564.8586
2268,0.37,59.5,58.0,4.67,4.71,2.79,720.35535
2269,0.31,62.3,54.0,4.37,4.33,2.71,623.8264
2270,0.83,57.5,61.0,6.22,6.17,3.56,3554.7666
2271,1.03,61.2,54.0,6.56,6.51,4.0,5751.465
2272,0.49,61.5,58.0,5.08,5.06,3.12,1181.702
2273,0.39,62.0,57.0,4.67,4.71,2.91,729.6826
2274,0.57,58.8,57.3,5.42,5.46,3.21,1837.656
2275,0.32,62.1,54.0,4.42,4.4,2.74,646.3385
2276,0.64,61.8,54.0,5.53,5.56,3.42,2146.1392
2277,0.31,62.2,55.0,4.36,4.38,2.72,622.8641
2278,0.5,62.0,56.0,5.07,5.11,3.15,1295.3569
2279,0.3,61.8,56.0,4.3,4.34,2.67,596.56006
2280,1.0,61.0,57.0,6.51,6.4,3.94,5018.8906
2281,0.5,61.1,67.0,5.07,5.04,3.09,793.26483
2282,0.26,62.2,56.0,4.09,4.12,2.55,515.70184
2283,0.33,62.3,58.0,4.41,4.45,2.76,622.341
2284,0.29,61.4,56.0,4.25,4.28,2.62,577.00214
2285,0.82,59.7,57.0,6.14,6.12,3.66,3726.416
2286,0.55,61.3,57.0,5.25,5.28,3.23,1526.409
2287,0.7,62.4,56.0,5.69,5.63,3.53,2253.6934
2288,0.8,63.7,54.0,5.91,5.87,3.75,3036.7349
2289,1.6,61.9,54.0,7.56,7.5,4.66,11254.973
2290,0.41,62.4,56.0,4.74,4.78,2.97,800.1839
2291,0.41,62.4,55.0,4.76,4.79,2.98,868.14905
2292,0.62,63.0,56.0,5.43,5.36,3.4,1756.7311
2293,0.32,61.5,55.0,4.43,4.45,2.73,648.9752
2294,0.71,61.7,57.0,5.75,5.72,3.54,2352.3635
2295,0.95,64.4,60.0,6.06,6.02,3.89,2870.9844
2296,0.7,62.7,59.0,5.63,5.67,3.54,2052.8376
2297,0.3,60.0,60.0,4.36,4.4,2.63,587.49713
2298,0.7,62.1,58.0,5.64,5.7,3.52,2164.1274
2299,1.0,62.3,58.0,6.35,6.29,3.94,4329.881
2300,0.42,61.2,60.0,4.86,4.81,2.96,760.62665
2301,0.33,60.8,60.0,4.52,4.46,2.73,628.5795
2302,0.39,61.9,57.0,4.71,4.76,2.93,744.51825
2303,0.57,61.9,56.0,5.29,5.3,3.28,1614.7435
2304,1.6,59.8,56.0,7.6,7.68,4.57,11581.369
2305,0.61,61.6,54.0,5.45,5.49,3.37,2009.0248
2306,0.91,64.3,60.0,6.12,6.04,3.91,2922.4927
2307,0.71,60.4,56.0,5.8,5.85,3.52,2659.8018
2308,0.4,60.4,57.0,4.76,4.77,2.88,798.55554
2309,0.3,62.9,57.0,4.29,4.26,2.69,571.7881
2310,0.41,62.1,57.0,4.75,4.79,2.96,771.0178
2311,0.24,61.9,56.0,3.97,4.01,2.47,474.2839
2312,0.31,63.0,58.0,4.31,4.29,2.71,573.8957
2313,0.77,61.3,58.0,5.84,5.91,3.6,2622.5671
2314,0.51,60.5,59.0,5.17,5.15,3.12,1282.54
2315,1.13,61.7,58.0,6.66,6.62,4.1,5669.255
2316,1.06,62.8,56.0,6.52,6.47,4.08,5264.8223
2317,0.51,60.1,59.0,5.16,5.19,3.11,1310.4307
2318,0.34,61.8,58.0,4.5,4.47,2.77,643.23157
2319,0.3,62.0,55.1,4.29,4.32,2.67,598.519
2320,0.43,61.3,59.0,4.81,4.84,2.96,779.93494
2321,2.01,62.0,61.0,8.1,8.04,5.0,13159.499
2322,1.06,62.6,60.0,6.54,6.44,4.06,4682.509
2323,0.7,62.8,60.0,5.61,5.56,3.51,1888.38
2324,1.22,63.1,59.0,6.81,6.75,4.28,6046.382
2325,1.44,62.6,57.0,7.21,7.19,4.51,8677.033
2326,1.18,61.3,60.0,6.83,6.78,4.17,6039.4194
2327,1.01,66.1,55.0,6.19,6.1,4.06,3889.1626
2328,1.01,61.5,59.0,6.43,6.48,3.97,4709.427
2329,0.45,62.0,54.0,4.95,4.98,3.08,1199.457
2330,0.71,60.7,60.0,5.75,5.78,3.5,2259.1733
2331,0.9,63.1,57.0,6.12,6.06,3.84,3460.1177
2332,1.0,63.3,53.0,6.42,6.37,4.05,5218.4424
2333,0.7,61.3,56.0,5.73,5.78,3.53,2479.618
2334,0.3,62.0,55.0,4.3,4.34,2.68,604.4399
2335,0.39,62.9,58.0,4.62,4.66,2.92,703.70233
2336,0.27,60.5,60.0,4.19,4.2,2.54,519.3168
2337,0.9,62.5,55.0,6.17,6.21,3.87,4133.118
2338,0.7,63.1,56.0,5.62,5.69,3.57,2223.9834
2339,0.72,61.7,54.0,5.77,5.8,3.57,2726.1626
2340,0.9,61.8,57.0,6.16,6.23,3.83,3918.5605
2341,0.43,60.0,61.0,4.91,4.93,2.95,833.5145
2342,1.51,62.2,58.0,7.3,7.33,4.55,9206.967
2343,0.4,62.5,55.0,4.67,4.71,2.93,747.5579
2344,1.06,62.2,56.0,6.55,6.48,4.05,5372.4346
2345,0.41,59.9,57.0,4.87,4.91,2.93,976.9516
2346,0.42,61.3,57.0,4.82,4.8,2.95,849.9755
2347,1.53,62.3,54.2,7.35,7.38,4.59,10255.92
2348,0.9,60.0,56.0,6.33,6.27,3.78,4547.6387
2349,0.3,61.6,54.0,4.34,4.36,2.68,623.02893
2350,1.07,62.0,59.0,6.54,6.5,4.04,4990.792
2351,0.72,62.3,56.0,5.75,5.78,3.59,2482.268
2352,1.38,60.2,59.0,7.29,7.19,4.36,8583.755
2353,0.76,61.3,56.0,5.9,5.94,3.63,2941.8184
2354,1.0,63.0,61.0,6.35,6.31,3.99,3875.275
2355,0.25,58.8,60.0,5.33,5.28,3.12,1285.5233
2356,0.5,57.9,62.0,5.21,5.18,3.01,1232.3138
2357,0.62,62.0,58.0,5.44,5.49,3.39,1770.2582
2358,0.72,61.0,57.0,5.81,5.84,3.55,2562.5762
2359,0.52,62.7,55.0,5.12,5.15,3.22,1403.7871
2360,0.5,64.9,57.0,5.01,4.97,3.24,1059.556
2361,1.05,64.2,61.0,6.41,6.33,4.09,4002.7349
2362,1.57,62.1,56.0,7.47,7.43,4.63,10392.553
2363,0.8,63.5,57.0,5.87,5.91,3.74,2692.1611
2364,0.54,60.0,59.0,5.29,5.31,3.18,1493.921
2365,0.38,62.1,54.0,4.62,4.66,2.88,734.52655
2366,2.02,61.7,57.0,8.15,8.1,5.01,13670.787
2367,0.5,64.0,57.0,5.08,5.04,3.23,1165.7196
2368,1.52,62.1,58.0,7.36,7.4,4.58,9529.703
2369,0.45,62.1,59.0,4.85,4.81,3.0,781.7631
2370,0.56,60.9,56.0,5.34,5.36,3.26,1698.9377
2371,1.71,58.1,59.0,7.88,7.81,4.56,12342.723
2372,0.4,62.0,59.0,4.72,4.7,2.92,721.97833
2373,0.5,62.0,54.0,5.11,5.15,3.18,1445.9716
2374,0.65,59.6,60.3,5.64,5.71,3.38,2077.9912
2375,2.1,59.4,60.0,8.39,8.47,5.01,14435.514
2376,1.04,67.5,56.0,6.28,6.22,4.22,4043.6475
2377,0.57,60.3,58.0,5.4,5.44,3.27,1711.5719
2378,1.01,62.6,59.0,6.38,6.43,4.01,4459.66
2379,0.27,62.1,56.0,4.14,4.18,2.58,536.2368
2380,1.15,62.3,58.0,6.73,6.67,4.18,5861.93
2381,0.3,62.3,57.0,4.25,4.29,2.66,570.8747
2382,1.15,62.0,58.0,6.77,6.66,4.16,5921.964
2383,0.41,61.8,55.0,4.79,4.76,2.95,881.60077
2384,0.51,63.2,56.0,5.06,5.1,3.21,1266.3762
2385,1.1,60.0,58.0,6.72,6.75,4.04,6048.269
2386,1.54,63.6,60.0,7.3,7.33,4.65,8695.742
2387,0.34,59.0,59.0,4.61,4.55,2.7,670.5668
2388,0.82,62.2,58.0,5.98,5.94,3.71,2824.9746
2389,0.41,62.2,54.0,4.76,4.79,2.97,920.4218
2390,0.3,61.6,54.0,4.32,4.35,2.67,617.8956
2391,0.4,63.5,55.0,4.71,4.67,2.98,745.95935
2392,2.1,62.9,64.0,8.15,8.1,5.11,13006.187
2393,1.58,61.4,55.0,7.53,7.5,4.61,10985.096
2394,1.01,59.6,62.0,6.56,6.5,3.89,4665.6377
2395,0.31,61.1,56.0,4.38,4.39,2.68,621.39
2396,0.33,61.2,56.0,4.47,4.49,2.74,656.5113
2397,0.32,61.2,59.0,4.41,4.44,2.71,612.561
2398,0.4,62.1,54.0,4.75,4.78,2.96,903.529
2399,0.32,61.3,60.0,4.36,4.42,2.69,592.27435
2400,0.3,62.8,57.0,4.26,4.24,2.67,563.51416
2401,0.77,63.1,57.0,5.86,5.83,3.69,2585.5698
2402,0.85,57.7,67.0,6.26,6.19,3.59,2965.6553
2403,1.31,61.0,58.0,7.1,7.06,4.32,7802.1953
2404,2.1,62.1,59.0,8.16,8.18,5.07,13735.874
2405,0.31,62.8,57.0,4.34,4.32,2.72,592.32275
2406,1.0,62.5,56.0,6.38,6.42,4.0,4863.922
2407,0.9,62.3,58.0,6.16,6.19,3.85,3669.7805
2408,0.72,61.0,56.0,5.75,5.8,3.52,2547.1672
2409,1.5,65.8,57.0,7.19,7.15,4.72,8296.82
2410,1.03,61.5,57.0,6.48,6.52,4.0,5184.743
2411,1.7,60.5,59.0,7.77,7.73,4.69,11622.403
2412,0.59,62.0,57.0,5.36,5.39,3.33,1679.4437
2413,0.8,62.9,60.0,5.94,5.89,3.72,2512.7297
2414,0.41,61.0,55.0,4.8,4.82,2.93,942.87787
2415,1.03,63.8,54.0,6.36,6.3,4.04,4874.103
2416,0.34,62.2,55.0,4.49,4.45,2.78,661.9001
2417,0.69,62.8,58.0,5.65,5.62,3.54,2076.932
2418,0.31,61.9,56.0,4.32,4.37,2.69,606.6954
2419,0.7,61.5,56.0,5.7,5.74,3.52,2403.1233
2420,0.5,65.1,56.0,5.02,4.99,3.26,1123.0385
2421,1.5,61.5,59.0,7.3,7.23,4.47,8840.917
2422,1.09,58.8,61.0,6.72,6.78,3.97,5738.235
2423,0.7,62.5,57.0,5.63,5.7,3.54,2200.8667
2424,0.7,60.9,58.0,5.73,5.66,3.47,2246.78
2425,0.9,58.5,61.0,6.28,6.33,3.69,3965.755
2426,0.26,60.8,61.0,4.12,4.13,2.51,486.8232
2427,0.51,63.8,57.0,5.07,5.05,3.23,1181.3453
2428,0.26,61.8,56.0,4.12,4.14,2.55,524.9531
2429,0.31,62.7,58.0,4.33,4.31,2.71,581.1541
2430,0.53,62.4,59.0,5.14,5.18,3.22,1257.0009
2431,0.56,61.8,59.0,5.34,5.27,3.28,1479.5306
2432,0.92,64.0,56.0,6.12,6.17,3.93,3750.8125
2433,1.29,58.7,58.0,7.11,7.27,4.22,8522.52
2434,0.35,61.9,58.0,4.54,4.5,2.8,657.20404
2435,1.51,61.9,57.0,7.32,7.36,4.54,9555.809
2436,0.31,63.4,56.0,4.31,4.34,2.74,597.3504
2437,1.51,63.0,57.0,7.29,7.25,4.58,9114.171
2438,0.78,61.3,60.0,5.86,5.92,3.61,2502.8872
2439,0.28,61.4,55.0,4.22,4.25,2.6,572.9015
2440,0.54,61.2,57.0,5.25,5.27,3.22,1514.5936
2441,0.9,63.3,55.0,6.05,6.08,3.84,3654.3198
2442,0.41,62.1,60.0,4.72,4.75,2.94,724.0563
2443,0.3,62.0,60.0,4.26,4.29,2.65,548.9327
2444,0.71,63.5,59.0,5.68,5.59,3.58,2013.5548
2445,0.58,59.6,59.0,5.4,5.44,3.23,1682.6749
2446,1.01,61.9,56.0,6.43,6.46,3.99,5077.783
2447,0.23,61.6,55.0,3.96,3.99,2.45,476.1458
2448,2.0,63.6,61.0,7.9,7.83,5.0,12126.344
2449,0.7,60.8,58.0,5.74,5.7,3.48,2291.0369
2450,0.35,61.9,54.0,4.53,4.58,2.82,700.8011
2451,0.71,61.6,59.0,5.7,5.76,3.53,2230.3286
2452,1.0,69.9,61.0,6.13,5.86,4.23,2594.4626
2453,0.71,62.9,57.0,5.67,5.62,3.55,2163.8325
2454,1.14,62.2,55.9,6.67,6.69,4.16,6087.2373
2455,0.31,60.1,57.0,4.36,4.39,2.63,611.47906
2456,1.58,62.6,56.0,7.41,7.44,4.65,10243.808
2457,0.31,61.0,56.0,4.39,4.43,2.69,629.7813
2458,0.71,60.2,58.0,5.83,5.76,3.49,2440.884
2459,0.34,60.3,54.0,4.56,4.53,2.74,697.5595
2460,0.48,60.6,62.0,5.06,5.0,3.05,950.61017
2461,1.02,61.9,58.0,6.43,6.49,4.0,4858.6953
2462,0.7,59.4,59.0,5.8,5.75,3.43,2366.4863
2463,0.9,62.8,57.0,6.14,6.18,3.87,3722.1853
2464,1.2,61.5,57.0,6.79,6.89,4.21,6621.7524
2465,0.92,62.1,57.0,6.2,6.26,3.87,4045.921
2466,0.52,60.9,55.0,5.16,5.22,3.16,1511.4833
2467,1.7,62.5,59.0,7.48,7.58,4.71,10413.592
2468,0.71,59.0,59.0,5.88,5.78,3.44,2477.7131
2469,1.53,63.5,58.0,7.35,7.29,4.65,9124.486
2470,1.01,63.1,56.0,6.41,6.36,4.03,4786.2275
2471,1.01,62.6,57.0,6.42,6.3,3.99,4607.2676
2472,0.56,60.7,57.0,5.34,5.31,3.23,1620.982
2473,0.7,61.9,58.0,5.64,5.67,3.5,2146.6326
2474,1.03,62.4,57.0,6.47,6.39,4.01,4877.638
2475,0.57,62.1,58.0,5.32,5.25,3.28,1500.4183
2476,1.98,62.7,60.0,7.9,7.96,4.98,12690.531
2477,0.32,61.6,55.0,4.43,4.46,2.74,650.8046
2478,0.83,62.0,55.0,6.03,6.06,3.74,3556.2231
2479,0.35,62.0,53.6,4.53,4.55,2.81,698.22736
2480,2.01,59.2,60.0,8.31,8.27,4.91,13923.988
2481,0.55,59.4,58.0,5.36,5.38,3.19,1650.7551
2482,0.7,59.1,60.0,5.77,5.8,3.42,2334.9858
2483,1.02,63.6,59.0,6.23,6.28,3.98,3904.6016
2484,1.25,62.3,58.0,6.86,6.89,4.28,6612.2295
2485,0.72,61.6,57.0,5.84,5.78,3.58,2514.6653
2486,0.83,64.4,57.0,5.93,5.86,3.8,2705.1626
2487,0.45,61.4,56.0,4.96,4.97,3.05,1116.4967
2488,1.14,61.0,56.0,6.74,6.76,4.12,6389.003
2489,0.6,62.1,57.0,5.43,5.36,3.35,1712.273
2490,0.56,62.8,57.6,5.26,5.31,3.32,1499.2637
2491,0.3,61.5,55.0,4.34,4.38,2.68,618.27454
2492,0.32,62.2,54.5,4.38,4.42,2.74,638.99097
2493,0.9,59.6,59.0,6.27,6.31,3.75,4117.11
2494,0.51,61.9,55.0,5.15,5.19,3.2,1458.8696
2495,0.41,63.5,55.0,4.69,4.73,2.99,757.6318
2496,0.7,64.3,56.0,5.51,5.58,3.57,2004.204
2497,1.01,63.8,57.0,6.4,6.33,4.06,4518.653
2498,1.56,62.1,58.0,7.35,7.41,4.58,9631.41
2499,1.33,59.9,57.3,7.16,7.21,4.3,8592.591
2500,0.73,61.2,59.0,5.82,5.84,3.57,2425.1357
2501,0.31,61.9,55.0,4.36,4.37,2.7,621.18195
2502,0.23,61.0,59.0,3.95,3.99,2.42,467.92667
2503,1.0,56.9,63.0,6.6,6.57,3.75,4893.77
